saas.sin.fan:443#麒麟优选 | 05-31 12:10 | Bestcf.pages.dev
172.64.146.96:443#麒麟优选 | 电信 | 172.64.146.96 | 46.48ms | 68.01mb/s
198.41.223.1:443#麒麟优选 | 电信 | 198.41.223.1 | 46.26ms | 66.49mb/s
162.159.26.100:443#麒麟优选 | 电信 | 162.159.26.100 | 46.39ms | 66.37mb/s
162.159.18.229:443#麒麟优选 | 电信 | 162.159.18.229 | 46.49ms | 65.93mb/s
162.159.61.204:443#麒麟优选 | 电信 | 162.159.61.204 | 46.15ms | 63.07mb/s
162.159.58.160:443#麒麟优选 | 电信 | 162.159.58.160 | 46.37ms | 60.99mb/s
162.159.27.115:443#麒麟优选 | 电信 | 162.159.27.115 | 46.47ms | 47.11mb/s
172.64.151.104:443#麒麟优选 | 电信 | 172.64.151.104 | 46.39ms | 21.91mb/s
104.18.37.39:443#麒麟优选 | 电信 | 104.18.37.39 | 46.45ms | 14.18mb/s
162.159.6.101:443#麒麟优选 | 电信 | 162.159.6.101 | 46.08ms | 1.41mb/s
104.26.5.247:443#麒麟优选 | 联通 | 104.26.5.247 | 123.03ms | 5.42mb/s
104.26.11.144:443#麒麟优选 | 联通 | 104.26.11.144 | 121.53ms | 4.26mb/s
172.67.65.160:443#麒麟优选 | 联通 | 172.67.65.160 | 121.11ms | 2.66mb/s
104.26.1.101:443#麒麟优选 | 联通 | 104.26.1.101 | 123.29ms | 1.85mb/s
172.67.66.143:443#麒麟优选 | 联通 | 172.67.66.143 | 118.90ms | 1.26mb/s
104.20.17.88:443#麒麟优选 | 联通 | 104.20.17.88 | 123.26ms | 0.63mb/s
104.26.7.29:443#麒麟优选 | 联通 | 104.26.7.29 | 122.11ms | 0.54mb/s
172.67.76.251:443#麒麟优选 | 联通 | 172.67.76.251 | 122.75ms | 0.41mb/s
104.20.21.44:443#麒麟优选 | 联通 | 104.20.21.44 | 123.01ms | 0.29mb/s
104.26.13.238:443#麒麟优选 | 联通 | 104.26.13.238 | 120.90ms | 0.22mb/s
104.19.55.4:443#麒麟优选 | 移动 | 104.19.55.4 | 49.11ms | 0.44mb/s
104.19.153.92:443#麒麟优选 | 移动 | 104.19.153.92 | 49.46ms | 0.37mb/s
104.17.116.28:443#麒麟优选 | 移动 | 104.17.116.28 | 48.86ms | 0.33mb/s
104.17.118.158:443#麒麟优选 | 移动 | 104.17.118.158 | 49.12ms | 0.28mb/s
104.19.47.231:443#麒麟优选 | 移动 | 104.19.47.231 | 49.58ms | 0.23mb/s
104.19.149.57:443#麒麟优选 | 移动 | 104.19.149.57 | 48.19ms | 0.22mb/s
104.17.186.251:443#麒麟优选 | 移动 | 104.17.186.251 | 49.61ms | 0.20mb/s
104.17.119.196:443#麒麟优选 | 移动 | 104.17.119.196 | 49.32ms | 0.16mb/s
104.19.36.40:443#麒麟优选 | 移动 | 104.19.36.40 | 48.94ms | 0.15mb/s
104.17.98.246:443#麒麟优选 | 移动 | 104.17.98.246 | 48.63ms | 0.10mb/s
172.64.146.235:443#麒麟优选 | 多线 | 172.64.146.235 | 66.18ms | 16.40mb/s
162.159.45.149:443#麒麟优选 | 多线 | 162.159.45.149 | 63.50ms | 15.22mb/s
108.162.198.113:443#麒麟优选 | 多线 | 108.162.198.113 | 68.25ms | 15.15mb/s
172.64.229.112:443#麒麟优选 | 多线 | 172.64.229.112 | 44.29ms | 15.02mb/s
104.18.33.31:443#麒麟优选 | 多线 | 104.18.33.31 | 66.66ms | 14.25mb/s
162.159.38.235:443#麒麟优选 | 多线 | 162.159.38.235 | 67.13ms | 12.39mb/s
172.64.50.44:443#麒麟优选 | 多线 | 172.64.50.44 | 67.16ms | 0.28mb/s
104.18.42.236:443#麒麟优选 | 多线 | 104.18.42.236 | 66.84ms | 0.18mb/s
104.18.43.88:443#麒麟优选 | 多线 | 104.18.43.88 | 65.14ms | 0.15mb/s
162.159.39.246:443#麒麟优选 | 多线 | 162.159.39.246 | 62.75ms | 0.13mb/s
bestcf.030101.xyz:443#麒麟优选 | 分享免费优选网 Bestcf.pages.dev
